word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,target.started,target.stopped,response.keys,response.corr,response.rt,response.started,response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
red,green,0,down,0,0,0,1,10.445295201003319,None,15.66031126800226,None,left,0,1.1297013360017445,15.66031126800226,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
blue,red,0,left,0,1,1,5,,,17.31270844800747,None,right,0,0.8852705549943494,17.31270844800747,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
blue,blue,1,right,0,2,2,4,,,18.712597101010033,None,left,0,0.3253137369902106,18.712597101010033,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
green,blue,0,right,0,3,3,3,,,19.545554072014056,None,right,1,0.5884285500069382,19.545554072014056,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
red,red,1,left,0,4,4,0,,,20.646628370013786,None,down,0,0.4554221059952397,20.646628370013786,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
green,green,1,down,0,5,5,2,,,21.6140637070057,None,left,0,0.9519282520050183,21.6140637070057,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
red,red,1,left,1,0,6,0,,,23.081074289002572,None,left,1,0.4849467339954572,23.081074289002572,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
blue,red,0,left,1,1,7,5,,,24.080886872005067,None,right,0,0.14909657699172385,24.080886872005067,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
green,green,1,down,1,2,8,2,,,24.73094472900266,None,left,0,0.03507271899434272,24.73094472900266,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
green,blue,0,right,1,3,9,3,,,25.281571840008837,None,right,1,0.40447525499621406,25.281571840008837,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
blue,blue,1,right,1,4,10,4,,,26.19999113000813,None,left,0,0.005977406006422825,26.19999113000813,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
red,green,0,down,1,5,11,1,,,26.715143411012832,None,right,0,0.2188357949926285,26.715143411012832,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
red,red,1,left,2,0,12,0,,,27.432723564008484,None,left,1,0.3733209609927144,27.432723564008484,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
blue,red,0,left,2,1,13,5,,,28.315588453013333,None,right,0,0.17044107599940617,28.315588453013333,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
blue,blue,1,right,2,2,14,4,,,29.000069292000262,None,left,0,0.14199571900826413,29.000069292000262,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
green,blue,0,right,2,3,15,3,,,29.650931518001016,None,down,0,0.21109723899280652,29.650931518001016,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
green,green,1,down,2,4,16,2,,,30.367559811013052,None,down,1,0.2304170629940927,30.367559811013052,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
red,green,0,down,2,5,17,1,,,31.10092822200386,None,down,1,0.21699032100150362,31.10092822200386,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
green,green,1,down,3,0,18,2,,,31.83527501000208,None,down,1,0.13883679399441462,31.83527501000208,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
green,blue,0,right,3,1,19,3,,,32.485558127009426,None,down,0,0.20844575700175483,32.485558127009426,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
red,red,1,left,3,2,20,0,,,33.203337541010114,None,down,0,0.15469727299932856,33.203337541010114,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
blue,blue,1,right,3,3,21,4,,,33.868747807006,None,down,0,0.02527666099194903,33.868747807006,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
red,green,0,down,3,4,22,1,,,34.402884363007615,None,down,1,0.11514231999171898,34.402884363007615,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
blue,red,0,left,3,5,23,5,,,35.019240002002334,None,down,0,0.18666865599516314,35.019240002002334,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
blue,blue,1,right,4,0,24,4,,,35.73666686601064,None,down,0,0.12536177999572828,35.73666686601064,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
red,red,1,left,4,1,25,0,,,36.370448593006586,None,down,0,0.1475145800068276,36.370448593006586,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
blue,red,0,left,4,2,26,5,,,37.02092472100048,None,down,0,0.19308206300775055,37.02092472100048,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
red,green,0,down,4,3,27,1,,,37.7208820550004,None,left,0,0.4930497820023447,37.7208820550004,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
green,blue,0,right,4,4,28,3,,,38.720810106009594,None,left,0,0.1730872579937568,38.720810106009594,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
green,green,1,down,4,5,29,2,,,39.40539379400434,None,left,0,0.08058497699676082,39.40539379400434,None,1,001,2019_Nov_19_1348,stroop,3.2.4,59.9484946492718,
