8.2127 	DATA 	Mouse: Left button down, pos=(443,540)
8.2133 	DATA 	Mouse:  Left button up, pos=(443,540)
9.4759 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x1193f3da0>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x119495940>, multiSample=False, name='window1', numSamples=2, pos=[320.0, 200.0], screen=0, size=array([2560, 1600]), stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.4760 	EXP 	window1: recordFrameIntervals = False
9.6423 	EXP 	window1: recordFrameIntervals = True
9.8255 	EXP 	window1: recordFrameIntervals = False
10.3923 	EXP 	Created instrText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='instrText', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
10.4078 	EXP 	Created target = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='target', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='height', win=Window(...), wrapWidth=1)
10.4453 	EXP 	instrText: autoDraw = True
15.1472 	EXP 	Imported stroop.xlsx as conditions, 6 conditions, 4 params
15.1500 	EXP 	Created sequence: random, trialTypes=6, nReps=5, seed=None
15.1511 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', 'red'), ('colour', 'green'), ('congruent', 0), ('corrAns', 'down')])
15.1585 	DATA 	Keypress: space
15.1776 	EXP 	instrText: autoDraw = False
15.1776 	EXP 	target: color = 'green (named)'
15.1776 	EXP 	target: text = 'red'
15.6603 	EXP 	target: autoDraw = True
16.8054 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', 'blue'), ('colour', 'red'), ('congruent', 0), ('corrAns', 'left')])
16.8111 	DATA 	Keypress: left
16.8293 	EXP 	target: autoDraw = False
16.8293 	EXP 	target: color = 'red (named)'
16.8293 	EXP 	target: text = 'blue'
17.3127 	EXP 	target: autoDraw = True
18.2129 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', 'blue'), ('colour', 'blue'), ('congruent', 1), ('corrAns', 'right')])
18.2142 	DATA 	Keypress: right
18.2296 	EXP 	target: autoDraw = False
18.2296 	EXP 	target: color = 'blue (named)'
18.2296 	EXP 	target: text = 'blue'
18.7126 	EXP 	target: autoDraw = True
19.0465 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', 'green'), ('colour', 'blue'), ('congruent', 0), ('corrAns', 'right')])
19.0508 	DATA 	Keypress: left
19.0629 	EXP 	target: autoDraw = False
19.0629 	EXP 	target: color = 'blue (named)'
19.0629 	EXP 	target: text = 'green'
19.5456 	EXP 	target: autoDraw = True
20.1478 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', 'red'), ('colour', 'red'), ('congruent', 1), ('corrAns', 'left')])
20.1517 	DATA 	Keypress: right
20.1643 	EXP 	target: autoDraw = False
20.1643 	EXP 	target: color = 'red (named)'
20.1643 	EXP 	target: text = 'red'
20.6466 	EXP 	target: autoDraw = True
21.1153 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', 'green'), ('colour', 'green'), ('congruent', 1), ('corrAns', 'down')])
21.1201 	DATA 	Keypress: down
21.1332 	EXP 	target: autoDraw = False
21.1332 	EXP 	target: color = 'green (named)'
21.1332 	EXP 	target: text = 'green'
21.6141 	EXP 	target: autoDraw = True
22.5830 	EXP 	New trial (rep=1, index=0): OrderedDict([('word', 'red'), ('colour', 'red'), ('congruent', 1), ('corrAns', 'left')])
22.5871 	DATA 	Keypress: left
22.5997 	EXP 	target: autoDraw = False
22.5997 	EXP 	target: color = 'red (named)'
22.5997 	EXP 	target: text = 'red'
23.0811 	EXP 	target: autoDraw = True
23.5827 	EXP 	New trial (rep=1, index=1): OrderedDict([('word', 'blue'), ('colour', 'red'), ('congruent', 0), ('corrAns', 'left')])
23.5869 	DATA 	Keypress: left
23.5990 	EXP 	target: autoDraw = False
23.5990 	EXP 	target: color = 'red (named)'
23.5990 	EXP 	target: text = 'blue'
24.0809 	EXP 	target: autoDraw = True
24.2331 	EXP 	New trial (rep=1, index=2): OrderedDict([('word', 'green'), ('colour', 'green'), ('congruent', 1), ('corrAns', 'down')])
24.2376 	DATA 	Keypress: right
24.2500 	EXP 	target: autoDraw = False
24.2500 	EXP 	target: color = 'green (named)'
24.2500 	EXP 	target: text = 'green'
24.7309 	EXP 	target: autoDraw = True
24.7826 	EXP 	New trial (rep=1, index=3): OrderedDict([('word', 'green'), ('colour', 'blue'), ('congruent', 0), ('corrAns', 'right')])
24.7840 	DATA 	Keypress: left
24.7986 	EXP 	target: autoDraw = False
24.7986 	EXP 	target: color = 'blue (named)'
24.7986 	EXP 	target: text = 'green'
25.2494 	DATA 	Keypress: right
25.2816 	EXP 	target: autoDraw = True
25.7006 	EXP 	New trial (rep=1, index=4): OrderedDict([('word', 'blue'), ('colour', 'blue'), ('congruent', 1), ('corrAns', 'right')])
25.7048 	DATA 	Keypress: right
25.7170 	EXP 	target: autoDraw = False
25.7170 	EXP 	target: color = 'blue (named)'
25.7170 	EXP 	target: text = 'blue'
26.2000 	EXP 	target: autoDraw = True
26.2177 	EXP 	New trial (rep=1, index=5): OrderedDict([('word', 'red'), ('colour', 'green'), ('congruent', 0), ('corrAns', 'down')])
26.2212 	DATA 	Keypress: left
26.2338 	EXP 	target: autoDraw = False
26.2338 	EXP 	target: color = 'green (named)'
26.2338 	EXP 	target: text = 'red'
26.5997 	DATA 	Keypress: right
26.7151 	EXP 	target: autoDraw = True
26.9356 	EXP 	New trial (rep=2, index=0): OrderedDict([('word', 'red'), ('colour', 'red'), ('congruent', 1), ('corrAns', 'left')])
26.9369 	DATA 	Keypress: right
26.9495 	EXP 	target: autoDraw = False
26.9495 	EXP 	target: color = 'red (named)'
26.9495 	EXP 	target: text = 'red'
